section,family,idx,wallsH,wallsV,p0,p1,turn,tb,outcome,dtm,camping,fwdExists,valueOptimal,score,chosenRowAfter
empty,0,0,1012280021000114,224010810002448,34,60,0,0,0,9,0,1,1,998992,4
empty,0,1,1012280021000114,224010810002448,35,60,1,0,1,10,0,0,1,-998991,6
empty,0,2,1012280021000114,224010810002448,35,69,0,0,0,9,0,1,1,998992,4
empty,0,3,1012280021000114,224010810002448,26,69,1,0,1,12,0,1,1,-998989,6
empty,0,4,1012280021000114,224010810002448,26,78,0,0,0,11,0,1,1,998990,3
empty,0,5,1012280021000114,224010810002448,25,78,1,0,1,12,1,1,1,-998989,7
empty,1,0,880110084889041,700000200200188,20,77,1,0,0,19,1,1,1,998982,7
empty,1,1,880110084889041,700000200200188,20,76,0,0,0,19,0,1,1,998982,3
empty,1,2,880110084889041,700000200200188,29,76,1,0,1,18,0,0,1,-998983,8
empty,1,3,880110084889041,700000200200188,29,77,0,0,0,17,0,0,1,998984,3
empty,1,4,880110084889041,700000200200188,30,77,1,0,1,16,1,1,1,-998985,7
empty,1,5,880110084889041,700000200200188,30,78,0,0,0,15,0,0,1,998986,3
empty,2,0,8008102402000a00,4c002d420000002c,14,77,1,0,0,19,1,1,1,998982,7
empty,2,1,8008102402000a00,4c002d420000002c,14,76,0,0,0,19,0,1,1,998982,2
empty,2,2,8008102402000a00,4c002d420000002c,23,76,1,0,1,18,1,1,1,-998983,7
empty,2,3,8008102402000a00,4c002d420000002c,23,67,0,0,0,17,0,1,1,998984,3
empty,2,4,8008102402000a00,4c002d420000002c,22,67,1,0,0,19,0,0,1,998982,7
empty,2,5,8008102402000a00,4c002d420000002c,22,76,0,0,0,19,0,1,1,998982,3
empty,3,0,1200100484424a0,2053000500a00000,5,57,0,0,1,16,0,0,1,-998985,0
empty,3,1,1200100484424a0,2053000500a00000,4,57,1,0,0,15,0,1,1,998986,6
empty,3,2,1200100484424a0,2053000500a00000,4,66,0,0,1,18,1,1,1,-998983,1
empty,3,3,1200100484424a0,2053000500a00000,13,66,1,0,0,17,0,1,1,998984,6
empty,3,4,1200100484424a0,2053000500a00000,13,65,0,0,1,16,0,1,1,-998985,2
empty,3,5,1200100484424a0,2053000500a00000,22,65,1,0,0,15,0,1,1,998986,6
empty,4,0,188810004082000,610448023001804,21,76,1,0,1,18,1,1,1,-998983,8
empty,4,1,188810004082000,610448023001804,21,75,0,0,0,17,0,0,1,998984,2
