corpus,mode,tc,tt,contempt,games,a_wins,b_wins,rep_draws,timeouts,avg_plies,shuffle_rate,cycle4_rate,back_rate,progress_per_move,illegal
mid,heur,depth,persist,-60,40,7,8,2,23,45.95,0.00000,0.00598,0.06855,0.57835,0
empty,heur,depth,persist,-60,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,heur,depth,persist,-30,40,9,9,1,21,45.67,0.00000,0.00328,0.07772,0.56322,0
empty,heur,depth,persist,-30,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,heur,depth,persist,-15,40,7,10,0,23,45.85,0.00000,0.00000,0.06816,0.58233,0
empty,heur,depth,persist,-15,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,heur,depth,persist,-5,40,8,12,1,19,45.45,0.00000,0.00275,0.07481,0.56821,0
empty,heur,depth,persist,-5,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,heur,depth,persist,0,40,10,9,1,20,45.02,0.00000,0.00278,0.06996,0.57301,0
empty,heur,depth,persist,0,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,nnue,depth,persist,-60,40,4,12,4,20,44.60,0.00000,0.01289,0.08857,0.54428,0
empty,nnue,depth,persist,-60,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,nnue,depth,persist,-30,40,9,7,0,24,44.33,0.00000,0.00000,0.09081,0.52735,0
empty,nnue,depth,persist,-30,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,nnue,depth,persist,-15,40,10,6,0,24,45.23,0.00000,0.00000,0.08900,0.54229,0
empty,nnue,depth,persist,-15,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,nnue,depth,persist,-5,40,8,10,3,19,42.48,0.00000,0.00883,0.08181,0.54562,0
empty,nnue,depth,persist,-5,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,nnue,depth,persist,0,40,9,11,1,19,42.55,0.00000,0.00294,0.08872,0.52996,0
empty,nnue,depth,persist,0,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
