corpus,mode,tc,tt,contempt,games,a_wins,b_wins,rep_draws,timeouts,avg_plies,shuffle_rate,cycle4_rate,back_rate,progress_per_move,illegal
mid,heur,time,persist,-60,120,45,48,23,4,50.27,0.00000,0.02718,0.15216,0.45666,0
empty,heur,time,persist,-60,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,heur,time,persist,-30,120,35,39,41,5,44.02,0.00000,0.04544,0.17039,0.41973,0
empty,heur,time,persist,-30,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,heur,time,persist,-15,120,42,31,46,1,43.07,0.00000,0.04818,0.17589,0.40306,0
empty,heur,time,persist,-15,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,heur,time,persist,-5,120,39,36,40,5,45.17,0.00000,0.04465,0.17565,0.40849,0
empty,heur,time,persist,-5,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,heur,time,persist,0,120,37,41,39,3,45.95,0.00000,0.04117,0.17719,0.40932,0
empty,heur,time,persist,0,160,80,80,0,0,11.80,0.00000,0.00000,0.22564,0.54979,0
mid,heur,time,clear,-30,120,60,60,0,0,47.70,0.00000,0.00157,0.07966,0.56813,0
mid,heur,time,clear,0,120,60,60,0,0,47.73,0.00000,0.00017,0.08170,0.56145,0
